"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
29001100,7,8.75,6.6,NA,NA,NA,6.5,6,7.5,"Cantonese"
29001345,8.4,9.25,8.8,NA,NA,NA,8,9,9,"Cantonese"
29001388,7.2,8.5,4.4,NA,NA,NA,7.75,6.5,7.5,"Cantonese"
29001491,8.2,8.25,4.4,NA,NA,NA,6.75,8.5,8,"Cantonese"
29001514,7.2,9.25,7.6,NA,NA,NA,8.25,8.5,9.25,"Cantonese"
29001526,6,8.75,6.6,NA,NA,NA,4.5,6,7,"Cantonese"
29001690,8.2,9,8.4,NA,NA,NA,6.5,7.25,9.5,"Cantonese"
29001767,7.6,9.5,5.6,NA,NA,NA,5.5,5.75,8.5,"Cantonese"
29001886,7.4,8.5,6.2,NA,NA,NA,6.5,7.75,8.5,"Cantonese"
29002086,7.4,9,8.6,NA,NA,NA,5.25,8,8.25,"Cantonese"
29002388,7.8,8.75,6.4,NA,NA,NA,8.5,8.5,8.25,"Cantonese"
29003717,6.2,8,6.8,NA,NA,NA,4,5.5,7,"Cantonese"
