"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
2004381,6.2,8.75,9.4,NA,NA,NA,7.25,6.75,9.75,"French"
2004395,6.8,7,8.2,NA,NA,NA,6,7,7.5,"French"
2004434,8.4,8.75,10,NA,NA,NA,7.5,8.25,9.75,"French"
2004671,8.6,7.75,8.8,5.75,8.25,5.25,NA,NA,NA,"French"
2004703,8,5,6,4,8.25,8.75,NA,NA,NA,"French"
2004753,8.8,7.75,9.6,NA,NA,NA,8.5,9.25,10,"French"
2004812,7.8,6.75,6,3.25,8.5,7.75,NA,NA,NA,"French"
2004815,9,7.5,8.4,6.25,9.5,9.5,NA,NA,NA,"French"
2004826,8.6,8,9.4,7.5,7.5,6.25,NA,NA,NA,"French"
2004871,7.6,7,9,NA,NA,NA,7.25,7.25,7.75,"French"
2004898,8.2,8,9.2,NA,NA,NA,8.25,7.75,9,"French"
2004902,8.4,6.5,7,4.75,8.5,8.5,NA,NA,NA,"French"
2004923,8,7,4.2,4,8.75,8,NA,NA,NA,"French"
2004974,8.2,7.5,9.4,7.75,8.5,6.5,NA,NA,NA,"French"
2004999,4.2,7,8,NA,NA,NA,4.25,6.75,8.25,"French"
2005017,7.6,7.25,8.4,7.5,8.75,6.25,NA,NA,NA,"French"
2005041,8,5.25,6.4,7.75,7.75,6.25,NA,NA,NA,"French"
2005042,8.8,6.5,8.4,8.25,5.5,6,NA,NA,NA,"French"
2005064,8.6,6.5,6.8,8.5,7.5,6.25,NA,NA,NA,"French"
2005178,8.2,7.25,9.8,5.5,9.5,8.25,NA,NA,NA,"French"
2005208,7.4,8,8.6,7.25,6.25,6.25,NA,NA,NA,"French"
2005229,8.4,7.25,8.6,6.75,5,5.75,NA,NA,NA,"French"
2005390,8.2,8.5,9,NA,NA,NA,9,8,8.75,"French"
2005401,7.6,8.25,8.4,6.75,8.25,6.75,NA,NA,NA,"French"
2005421,8.4,6,9.4,5.5,8.75,9,NA,NA,NA,"French"
2005446,8.4,7.5,9.2,7.75,7.5,7.5,NA,NA,NA,"French"
2005468,6.2,8,5.6,NA,NA,NA,7.5,6,7.75,"French"
2005469,7.4,8.5,9.4,7,7.5,6.25,NA,NA,NA,"French"
2005493,8.6,7,9.8,6.25,9,8.5,NA,NA,NA,"French"
2005494,6.4,7.75,8.4,NA,NA,NA,8,7.25,8,"French"
2005579,7.2,6.75,7,7.25,7.5,7.25,NA,NA,NA,"French"
2005584,7,7.5,9,NA,NA,NA,6.25,7,8,"French"
2005585,8,8.5,9.4,5.5,8.5,7,NA,NA,NA,"French"
2005596,8.6,7.5,9.8,NA,NA,NA,9,7.5,9.25,"French"
2005615,8,6.75,7.4,4,6.5,8.5,NA,NA,NA,"French"
2005638,8.4,7.5,9.6,6.5,8,8.25,NA,NA,NA,"French"
2005705,6.4,7.25,7.8,NA,NA,NA,8,7.75,8.75,"French"
2005711,7.4,7.5,9.4,NA,NA,NA,8,8,9.25,"French"
2005753,8,7.5,9.2,NA,NA,NA,7.75,7.75,8.75,"French"
2005807,8.2,7.5,8.6,7.5,7.75,6,NA,NA,NA,"French"
2005810,7.2,6.5,7.6,NA,NA,NA,6.75,6.5,8.75,"French"
2005864,7.8,8,9.4,7,7,8.5,NA,NA,NA,"French"
2048983,7.4,7,7.4,NA,NA,NA,7.75,7.75,8.75,"French"
2051526,8,NA,7.8,NA,8.25,6,NA,NA,NA,"French"
3015567,7.8,8.5,8.6,NA,NA,NA,7.25,5.75,9,"French"
3015568,8.2,8,7.8,NA,NA,NA,6,5.75,7,"French"
3015614,8.2,9.5,9.8,8.25,6.25,7,NA,NA,NA,"French"
3015668,8,9.5,7.8,NA,NA,NA,9.5,8.75,9.25,"French"
