"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
1018105,7,8.75,9.8,NA,NA,NA,6.75,6.75,7.5,"Japanese"
1018106,8.4,8.75,8.6,NA,NA,NA,8.75,9.25,9.5,"Japanese"
1018203,7.6,8.25,10,NA,NA,NA,5.75,7.25,8,"Japanese"
1019311,8.6,8.75,7,NA,NA,NA,6.75,8.5,9.75,"Japanese"
1019314,6.8,8.75,4.4,NA,NA,NA,7,7.75,8.25,"Japanese"
1019323,8,8.5,9.8,NA,NA,NA,4.75,7.5,7,"Japanese"
1019334,7.4,8.5,6.2,NA,NA,NA,7.25,8.25,8.5,"Japanese"
1020340,8.2,8,9.6,7.75,7.75,5.25,NA,NA,NA,"Japanese"
1020368,6.6,7.75,10,NA,NA,NA,8.25,7.5,8.5,"Japanese"
1020397,8.8,8.75,9.6,NA,NA,NA,9,9.5,9.25,"Japanese"
1020446,4.4,8.25,6.2,NA,NA,NA,5.75,6.75,8,"Japanese"
1020520,7.6,8.75,9.6,NA,NA,NA,9.5,8,9.5,"Japanese"
1020546,7.8,9,7.4,NA,NA,NA,7.5,7.75,8,"Japanese"
1020789,6.2,8.75,4.6,NA,NA,NA,5.75,6.25,8.25,"Japanese"
1021467,7.4,8.5,8.8,NA,NA,NA,7,8,8.5,"Japanese"
1021629,7.4,7.75,9.6,NA,NA,NA,7.25,6.75,8.5,"Japanese"
1021662,8.4,8.75,9.6,NA,NA,NA,8.5,7.75,8.75,"Japanese"
1022240,7.6,8,8.2,NA,NA,NA,8.5,6.75,8.75,"Japanese"
1022512,6.8,9.25,9.6,NA,NA,NA,8.75,8.5,9.5,"Japanese"
1022520,7.8,9.25,9.8,NA,NA,NA,9.25,9.5,9,"Japanese"
1022537,7.6,8.5,9.4,NA,NA,NA,8.75,8.75,9.5,"Japanese"
1022976,7.4,7.25,9,6,7.5,7.25,NA,NA,NA,"Japanese"
1023135,8,8.75,9.4,NA,NA,NA,7.75,7.75,9,"Japanese"
1023167,8.2,8.25,9.8,6,7.75,7.25,NA,NA,NA,"Japanese"
1023215,8,6.75,6.6,7,6.25,6.25,NA,NA,NA,"Japanese"
1023287,7.6,8.75,8.2,NA,NA,NA,7.25,7,7.5,"Japanese"
1023429,6.4,8.75,7.8,NA,NA,NA,NA,NA,NA,"Japanese"
1023435,8,9,9.2,NA,NA,NA,9,7.5,9.25,"Japanese"
1023620,7.8,8.25,9,NA,NA,NA,7,6.5,8.5,"Japanese"
1024083,6,7.75,4.6,NA,NA,NA,7,8.25,NA,"Japanese"
1024752,7.8,9,9.4,NA,NA,NA,8,7.5,8.75,"Japanese"
1025424,7,8.25,8.8,NA,NA,NA,6,5.5,5.25,"Japanese"
1025482,6.8,9,5.6,NA,NA,NA,6.5,7,8,"Japanese"
1026993,7.8,8,8.6,NA,NA,NA,8.25,7,8.75,"Japanese"
1027294,7.8,8.75,7.8,NA,NA,NA,6.5,7.75,8.75,"Japanese"
1029144,4.6,7.75,4.6,NA,NA,NA,4.5,7.25,7.25,"Japanese"
1029228,6.6,7.25,2.2,4,7.25,6.75,NA,NA,NA,"Japanese"
1030155,8.8,5,3.2,7.75,8.5,5.5,NA,NA,NA,"Japanese"
1031146,8.2,9,9.4,NA,NA,NA,8.25,8,9,"Japanese"
1031166,6.4,8.75,5.8,NA,NA,NA,6.75,7.25,8.25,"Japanese"
1031228,6.4,9,7.6,NA,NA,NA,7.5,8,8.5,"Japanese"
1031230,6.8,9.25,4.6,NA,NA,NA,4.5,7.25,6.75,"Japanese"
1031248,7.4,8.75,7.4,NA,NA,NA,8.75,9,9,"Japanese"
1031270,7.4,9,7.4,NA,NA,NA,7,6.75,8,"Japanese"
1031846,8,8.75,7.8,NA,NA,NA,5.5,5.5,8,"Japanese"
