"sbd","toan","ngu_van","ngoai_ngu","vat_li","hoa_hoc","sinh_hoc","lich_su","dia_li","gdcd","ma_ngoai_ngu"
3018897,7.8,9.5,5,NA,NA,NA,9.25,8,9.5,"Korean"
3019049,7.4,9,5.8,NA,NA,NA,7.25,8.25,8.75,"Korean"
3019103,7.4,9.5,5,NA,NA,NA,5.25,7.5,9.25,"Korean"
3019685,5,8.5,3.2,NA,NA,NA,7.5,8.25,9.5,"Korean"
3019774,8.4,8.25,5,NA,NA,NA,7.5,8,9.75,"Korean"
3019876,5,7,5.4,NA,NA,NA,6,6.75,8,"Korean"
3020038,6.4,9.5,9.4,NA,NA,NA,8.75,7,9.5,"Korean"
3020758,5.4,9,8.6,NA,NA,NA,8,8.25,9.25,"Korean"
3021401,7.6,8.75,9,NA,NA,NA,6.5,7.5,9.5,"Korean"
3021420,4.6,8.5,4.6,NA,NA,NA,5,7.5,8.75,"Korean"
3021591,7,8.75,4.8,NA,NA,NA,8,8.75,9.5,"Korean"
3021768,8.6,8.25,9.4,8.25,7.25,8.25,NA,NA,NA,"Korean"
3022483,5,7.5,5.6,NA,NA,NA,4.25,7.5,9.5,"Korean"
3023057,8.2,8.5,7.2,5.75,4.5,4.25,NA,NA,NA,"Korean"
3023630,6.8,7.5,7.6,NA,NA,NA,5.5,6.5,7.5,"Korean"
3023656,6.4,9.25,6.2,NA,NA,NA,8.75,8.25,9,"Korean"
3023736,7.4,8.5,8.6,NA,NA,NA,7.5,9.25,9.75,"Korean"
3023914,6,7.25,3.8,NA,NA,NA,4,6.75,5.5,"Korean"
3023998,7.2,7.25,6.6,NA,NA,NA,7.5,7.75,8.5,"Korean"
3024276,6.2,8.25,5.2,NA,NA,NA,4.75,5.25,7.25,"Korean"
3024400,5.6,7.75,3.8,NA,NA,NA,7,7.5,8.75,"Korean"
3024435,8,8,8.8,NA,NA,NA,7.25,8.75,9.25,"Korean"
3024467,5.8,8.5,4.2,NA,NA,NA,7.5,8.5,9.5,"Korean"
3024763,7.8,8.5,7.4,NA,NA,NA,8,9.75,9.5,"Korean"
3024854,6.8,7.5,5.4,NA,NA,NA,4.75,8.25,7.25,"Korean"
3024861,6.8,7.5,5.8,NA,NA,NA,6.25,7.5,8.75,"Korean"
3024898,7,7.5,3.2,NA,NA,NA,3,7.25,8.5,"Korean"
3024899,7.4,7.75,5.2,NA,NA,NA,8.75,8.5,8.75,"Korean"
3024939,8,7.5,4.6,NA,NA,NA,6.75,8,8.5,"Korean"
3024940,6.8,7.75,7.6,NA,NA,NA,6.5,8.75,9.25,"Korean"
3024972,6.2,7.25,3.8,NA,NA,NA,5.5,6.75,7,"Korean"
3025042,6.6,8.25,8.2,NA,NA,NA,6.5,8.25,9.75,"Korean"
3025113,7,8.5,5,NA,NA,NA,6.5,8.25,8.5,"Korean"
